run_id,url,platform,video_id,comment_id,parent_id,is_reply,reply_depth,user_id,username,text,like_count,publish_time,rank_tab,capture_ts,status,notes
20251015-123111,https://www.iesdouyin.com/share/video/6898201883039550727/?region=CN&mid=6898202051911338765&u_code=0&did=MS4wLjABAAAAragV2cpXWV_Iwyb1k1u8_SfGPFSjJLYfpQzufIV6x1mzOVWLPg0uSAzEd6iZQLpe&iid=MS4wLjABAAAAuiGC8-V7c-yk6LYjYKsevBH11Tp0Qgqqf11lpR-xR-HJutZd-KVOozacf4-225FN&with_sec_did=1&titleType=title&share_sign=LK6w5.b_M0A.6HfbbwverapjDLnXWdU7k43WLhSsHU8-&share_version=110900&ts=1716370496&from_aid=2955&from_ssr=1,douyin,,,,0,0,,,请先登录后发表评论,,,,2025-10-15T12:31:55,ok,
20251015-123111,https://www.iesdouyin.com/share/video/6898201883039550727/?region=CN&mid=6898202051911338765&u_code=0&did=MS4wLjABAAAAragV2cpXWV_Iwyb1k1u8_SfGPFSjJLYfpQzufIV6x1mzOVWLPg0uSAzEd6iZQLpe&iid=MS4wLjABAAAAuiGC8-V7c-yk6LYjYKsevBH11Tp0Qgqqf11lpR-xR-HJutZd-KVOozacf4-225FN&with_sec_did=1&titleType=title&share_sign=LK6w5.b_M0A.6HfbbwverapjDLnXWdU7k43WLhSsHU8-&share_version=110900&ts=1716370496&from_aid=2955&from_ssr=1,douyin,,,,0,0,,,"突突突的机关枪 ... 刷抖音刷到了，我好想回家啊 4年前 14 分享 回复 展开4条回复 左大 ... 转发 · 放桌子上块钱不会丢,放一包瓜子回来就剩一堆皮了。 4年前 11 分享 回复 展开1条回复 黄正桂 ... 好想回到那个地方太美了 4年前 10 分享 回复 小可爱 ... 真幽静 4年前 6 分享 回复 我就是我_郭金仓 ... 这地真美，和家人在这里生活真美 4年前 4 分享 回复 黄正桂 ... 美美青静优伢想受回味无丛 4年前 4 分享 回复 一抹时光 ... 刷抖音刷到了，我好想回家啊 4年前 3 分享 回复 珍 ... 人老了，走不动了，不去看外面的花花世界心静了 4年前 2 分享 回复 重生 ... 转发 · 你成功的路，一步一个辉煌，姐姐你加油 4年前 2 分享 回复 朩可乐 ... @潇洒丶疯一回 4年前 2 分享 回复 字英 ... 4年前 2 分享 回复 黄正桂 ... 近看美远看更美一片辽扩野 4年前 2 分享 回复 苏 ... 4年前 2 分享 回复 用户6620741143137 ... 好想回到那个地方太美了 4年前 1 分享 回复 曾凡琴 ... 支持你 4年前 1 分享 回复 峰哥0913 ... @峰哥0913 这个可以有 4年前 1 分享 回复 用户0706662239482 ... 很喜欢你的作品 4年前 1 分享 回复 李宜明 ... 4年前 1 分享 回复 用户7166542248817 ... 会一直关注你的哦 4年前 1 分享 回复 用户六花 ... 4年前 1 分享 回复 加载中 登录后即可参与发布讨论，视频推荐更个性化哦 立即登录 暂不登录",,,,2025-10-15T12:31:55,ok,
20251015-123111,https://www.iesdouyin.com/share/video/6898201883039550727/?region=CN&mid=6898202051911338765&u_code=0&did=MS4wLjABAAAAragV2cpXWV_Iwyb1k1u8_SfGPFSjJLYfpQzufIV6x1mzOVWLPg0uSAzEd6iZQLpe&iid=MS4wLjABAAAAuiGC8-V7c-yk6LYjYKsevBH11Tp0Qgqqf11lpR-xR-HJutZd-KVOozacf4-225FN&with_sec_did=1&titleType=title&share_sign=LK6w5.b_M0A.6HfbbwverapjDLnXWdU7k43WLhSsHU8-&share_version=110900&ts=1716370496&from_aid=2955&from_ssr=1,douyin,,,,0,0,,,突突突的机关枪 ...,,,,2025-10-15T12:31:55,ok,
20251015-123111,https://www.iesdouyin.com/share/video/6898201883039550727/?region=CN&mid=6898202051911338765&u_code=0&did=MS4wLjABAAAAragV2cpXWV_Iwyb1k1u8_SfGPFSjJLYfpQzufIV6x1mzOVWLPg0uSAzEd6iZQLpe&iid=MS4wLjABAAAAuiGC8-V7c-yk6LYjYKsevBH11Tp0Qgqqf11lpR-xR-HJutZd-KVOozacf4-225FN&with_sec_did=1&titleType=title&share_sign=LK6w5.b_M0A.6HfbbwverapjDLnXWdU7k43WLhSsHU8-&share_version=110900&ts=1716370496&from_aid=2955&from_ssr=1,douyin,,,,0,0,,,14 分享 回复,,,,2025-10-15T12:31:55,ok,
20251015-123111,https://www.iesdouyin.com/share/video/6898201883039550727/?region=CN&mid=6898202051911338765&u_code=0&did=MS4wLjABAAAAragV2cpXWV_Iwyb1k1u8_SfGPFSjJLYfpQzufIV6x1mzOVWLPg0uSAzEd6iZQLpe&iid=MS4wLjABAAAAuiGC8-V7c-yk6LYjYKsevBH11Tp0Qgqqf11lpR-xR-HJutZd-KVOozacf4-225FN&with_sec_did=1&titleType=title&share_sign=LK6w5.b_M0A.6HfbbwverapjDLnXWdU7k43WLhSsHU8-&share_version=110900&ts=1716370496&from_aid=2955&from_ssr=1,douyin,,,,0,0,,,左大 ...,,,,2025-10-15T12:31:55,ok,
20251015-123111,https://www.iesdouyin.com/share/video/6898201883039550727/?region=CN&mid=6898202051911338765&u_code=0&did=MS4wLjABAAAAragV2cpXWV_Iwyb1k1u8_SfGPFSjJLYfpQzufIV6x1mzOVWLPg0uSAzEd6iZQLpe&iid=MS4wLjABAAAAuiGC8-V7c-yk6LYjYKsevBH11Tp0Qgqqf11lpR-xR-HJutZd-KVOozacf4-225FN&with_sec_did=1&titleType=title&share_sign=LK6w5.b_M0A.6HfbbwverapjDLnXWdU7k43WLhSsHU8-&share_version=110900&ts=1716370496&from_aid=2955&from_ssr=1,douyin,,,,0,0,,,11 分享 回复,,,,2025-10-15T12:31:55,ok,
20251015-123111,https://www.iesdouyin.com/share/video/6898201883039550727/?region=CN&mid=6898202051911338765&u_code=0&did=MS4wLjABAAAAragV2cpXWV_Iwyb1k1u8_SfGPFSjJLYfpQzufIV6x1mzOVWLPg0uSAzEd6iZQLpe&iid=MS4wLjABAAAAuiGC8-V7c-yk6LYjYKsevBH11Tp0Qgqqf11lpR-xR-HJutZd-KVOozacf4-225FN&with_sec_did=1&titleType=title&share_sign=LK6w5.b_M0A.6HfbbwverapjDLnXWdU7k43WLhSsHU8-&share_version=110900&ts=1716370496&from_aid=2955&from_ssr=1,douyin,,,,0,0,,,黄正桂 ...,,,,2025-10-15T12:31:55,ok,
20251015-123111,https://www.iesdouyin.com/share/video/6898201883039550727/?region=CN&mid=6898202051911338765&u_code=0&did=MS4wLjABAAAAragV2cpXWV_Iwyb1k1u8_SfGPFSjJLYfpQzufIV6x1mzOVWLPg0uSAzEd6iZQLpe&iid=MS4wLjABAAAAuiGC8-V7c-yk6LYjYKsevBH11Tp0Qgqqf11lpR-xR-HJutZd-KVOozacf4-225FN&with_sec_did=1&titleType=title&share_sign=LK6w5.b_M0A.6HfbbwverapjDLnXWdU7k43WLhSsHU8-&share_version=110900&ts=1716370496&from_aid=2955&from_ssr=1,douyin,,,,0,0,,,10 分享 回复,,,,2025-10-15T12:31:55,ok,
20251015-123111,https://www.iesdouyin.com/share/video/6898201883039550727/?region=CN&mid=6898202051911338765&u_code=0&did=MS4wLjABAAAAragV2cpXWV_Iwyb1k1u8_SfGPFSjJLYfpQzufIV6x1mzOVWLPg0uSAzEd6iZQLpe&iid=MS4wLjABAAAAuiGC8-V7c-yk6LYjYKsevBH11Tp0Qgqqf11lpR-xR-HJutZd-KVOozacf4-225FN&with_sec_did=1&titleType=title&share_sign=LK6w5.b_M0A.6HfbbwverapjDLnXWdU7k43WLhSsHU8-&share_version=110900&ts=1716370496&from_aid=2955&from_ssr=1,douyin,,,,0,0,,,小可爱 ...,,,,2025-10-15T12:31:55,ok,
20251015-123111,https://www.iesdouyin.com/share/video/6898201883039550727/?region=CN&mid=6898202051911338765&u_code=0&did=MS4wLjABAAAAragV2cpXWV_Iwyb1k1u8_SfGPFSjJLYfpQzufIV6x1mzOVWLPg0uSAzEd6iZQLpe&iid=MS4wLjABAAAAuiGC8-V7c-yk6LYjYKsevBH11Tp0Qgqqf11lpR-xR-HJutZd-KVOozacf4-225FN&with_sec_did=1&titleType=title&share_sign=LK6w5.b_M0A.6HfbbwverapjDLnXWdU7k43WLhSsHU8-&share_version=110900&ts=1716370496&from_aid=2955&from_ssr=1,douyin,,,,0,0,,,6 分享 回复,,,,2025-10-15T12:31:55,ok,
